ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
589	580	Encephalartos		spiralis	(Salisb.) Lehm.					5	
644	384	Encephalartos		spiralis		diplomera	var.	F.Muell.		5	
598	404	Encephalartos		spiralis		major	var.	Miq.		5	
710	589	Encephalartos		spiralis		spiralis	var.			5	
347	358	Encephalartos		striatus	Stapf & Burtt Davy					5	
348	360	Encephalartos		successibus	Vorster					5	
352	587	Encephalartos		tridentatus	(Willd.) Lehm.					5	
631	303	Encephalartos		van-hallii	de Vriese					5	
356	334	Encephalartos		venetus	Vorster					5	
357	287	Encephalartos		verrucosus	Vorster, Robbertse & S.van der Westh.					5	
605	280	Encephalartos		verschaffeltii	Regel					5	
647	300	Encephalartos		villosus		hildebrandtii	f.	(Regalado & C.D.Bouché) P.Hennings		5	
646	358	Encephalartos		villosus		intermedius	f.	P.Hennings		5	
711	358	Encephalartos		villosus		villosus	f.			5	
712	358	Encephalartos		villosus		villosus	var.			5	
359	310	Encephalartos		voiensis	A.Moretti, D.W.Stev. & Sclavo					5	
370	272	Encephalartos		vroomii	Mast.					5	
363	184	Epicycas		elongata	(Leandri) S.L.Yang ex de Laub.					5	
364	147	Epicycas		lindstromii	(S.L.Yang, K.D.Hill & T.H.Nguyên) de Laub.					5	
365	163	Epicycas		micholitzii	(Dyer) de Laub.					5	
366	191	Epicycas		miquelii	(Warb.) de Laub.					5	
367	170	Epicycas		multipinnata	(C.J.Chen & S.Y.Yang) de Laub.					5	
368	213	Epicycas		siamensis	(Miq.) de Laub.					5	
369	581	Epicycas		tonkinensis	(L.Linden & Rodigas) de Laub.					5	
604	383	Lepidozamia		denisonii	(C.Moore & F.Muell.) Regel					5	
373	430	Lomaria		eriopus	Kunze					5	
379	423	Macrozamia		corallipes	Hook.f.					5	
383	372	Macrozamia		denisonii	C.Moore & F.Muell.					5	
586	371	Macrozamia		hopei	W.Hill					5	
738	404	Macrozamia		mackenziei	W.Bull					5	
409	600	Macrozamia		oldfieldii	(Miq.) A.DC.					5	
412	390	Macrozamia		pauli-guilielmi		flexuosa	subsp.	(C.Moore) L.A.S.Johnson		5	
713	411	Macrozamia		pauli-guilielmi		pauli-guilielmi	subsp.			5	
413	416	Macrozamia		pauli-guilielmi		plurinervia	subsp.	L.A.S.Johnson		5	
414	372	Macrozamia		peroffskyana	(Regel) Miq.					5	
