AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Cyd-287	South Africa (Limpopo)	text	
Cyd-288	South Africa (Limpopo)	text	
Cyd-289	Uganda (Eastern)	text	
Cyd-290	South Africa (Limpopo)	text	
Cyd-293	Mozambique (Gaza, Inhambane, Maputo), South Africa (KwaZulu-Natal)	text	
Cyd-659	Mozambique (Inhambane)	text	
Cyd-658	Mozambique (Gaza, Inhambane, Maputo), South Africa (KwaZulu-Natal)	text	
Cyd-295	South Africa (E Cape, KwaZulu-Natal)	text	
Cyd-296	South Africa (E Cape, KwaZulu-Natal)	text	
Cyd-298	Malawi (Mulanje), Mozambique (Zambézia)	text	
Cyd-299	South Africa (Mpumalanga), Swaziland	text	
Cyd-300	Kenya (Coast), Tanzania (Lushoto, Tanga, Zanzibar Island)	text	
Cyd-302	South Africa (Limpopo)	text	
Cyd-303	South Africa (E Cape)	text	
Cyd-305	South Africa (Mpumalanga)	text	
Cyd-307	South Africa (Limpopo)	text	
Cyd-308	Democratic Republic of Congo (Orientale)	text	
Cyd-309	Tanzania (Morogoro)	text	
Cyd-310	Kenya (Taita-Taveta), Tanzania (Kilimanjaro, ?Morogoro)	text	
Cyd-312	South Africa (E Cape, KwaZulu-Natal, Limpopo, Mpumalanga), Swaziland	text	
Cyd-313	South Africa (Gauteng, Mpumalanga)	text	
Cyd-316	South Africa (E Cape)	text	
Cyd-317	Angola, Democratic Republic of Congo	text	
Cyd-318	Mozambique, South Africa (KwaZulu-Natal), Swaziland	text	
Cyd-319	South Africa (E Cape)	text	
Cyd-321	South Africa (E Cape)	text	
Cyd-322	South Sudan (Eastern Equatoria)	text	
Cyd-323	Uganda (Northern)	text	
Cyd-324	Mozambique (Manica), Zimbabwe	text	
Cyd-326	Democratic Republic of Congo (Katanga)	text	
Cyd-328	South Africa (Mpumalanga)	text	
Cyd-329	South Africa (KwaZulu-Natal)	text	
Cyd-330	Mozambique (Manica)	text	
Cyd-332	South Africa (KwaZulu-Natal)	text	
Cyd-333	South Africa (KwaZulu-Natal), Swaziland	text	
Cyd-334	South Africa (Limpopo)	text	
Cyd-335	South Africa (Mpumalanga), Swaziland	text	
Cyd-336	Angola (Lunda Sul), Democratic Republic of Congo (Kasai-Occidental, Katanga)	text	
Cyd-337	South Africa (E Cape)	text	
Cyd-338	Mozambique (Manica)	text	
Cyd-340	Swaziland	text	
Cyd-341	Democratic Republic of Congo (Katanga)	text	
Cyd-342	Democratic Republic of Congo (Katanga), Zambia (Luapula, Northern)	text	
Cyd-343	Tanzania (Tanga)	text	
Cyd-344	South Africa (KwaZulu-Natal), Swaziland	text	
Cyd-345	Central African Republic, Democratic Republic of Congo (Orientale), South Sudan (Western Equatoria), Uganda (Northern)	text	
Cyd-349	Kenya (Eastern, Rift Valley)	text	
Cyd-350	Kenya (Eastern)	text	
Cyd-579	Kenya (Rift Valley)	text	
Cyd-351	South Africa (Limpopo)	text	
Cyd-353	South Africa (E Cape)	text	
Cyd-354	Mozambique (Nampula)	text	
Cyd-355	Mozambique, Swaziland	text	
Cyd-358	South Africa (E Cape, KwaZulu-Natal), Swaziland	text	
Cyd-360	Uganda (Western)	text	
Cyd-361	South Africa (KwaZulu-Natal)	text	
Cyd-371	Australia (Queensland)	text	
Cyd-372	Australia (New South Wales, Queensland)	text	
Cyd-375	Australia (Queensland)	text	
Cyd-376	Australia (New South Wales)	text	
Cyd-377	Australia (New South Wales)	text	
Cyd-378	Australia (Queensland)	text	
Cyd-380	Australia (Queensland)	text	
Cyd-381	Australia (Queensland)	text	
Cyd-384	Australia (New South Wales)	text	
Cyd-385	Australia (Queensland)	text	
Cyd-386	Australia (WA)	text	
Cyd-387	Australia (New South Wales)	text	
Cyd-388	Australia (New South Wales)	text	
Cyd-389	Australia (Queensland)	text	
Cyd-390	Australia (New South Wales)	text	
Cyd-391	Australia (WA)	text	
Cyd-392	Australia (New South Wales)	text	
Cyd-393	Australia (New South Wales)	text	
Cyd-395	Australia (New South Wales)	text	
Cyd-396	Australia (New South Wales)	text	
Cyd-397	Australia (Queensland)	text	
Cyd-398	Australia (Queensland)	text	
Cyd-399	Australia (New South Wales, Queensland)	text	
Cyd-400	Australia (Northern Territory)	text	
Cyd-401	Australia (Queensland)	text	
Cyd-403	Australia (Queensland)	text	
Cyd-404	Australia (Queensland)	text	
Cyd-405	Australia (New South Wales)	text	
Cyd-406	Australia (Queensland)	text	
Cyd-407	Australia (Queensland)	text	
Cyd-408	Australia (Queensland)	text	
Cyd-410	Australia (Queensland)	text	
Cyd-411	Australia (Queensland)	text	
Cyd-415	Australia (Queensland)	text	
Cyd-416	Australia (New South Wales, Queensland)	text	
Cyd-417	Australia (New South Wales)	text	
Cyd-419	Australia (New South Wales)	text	
Cyd-420	Australia (WA)	text	
Cyd-421	Australia (New South Wales)	text	
Cyd-422	Australia (Queensland)	text	
Cyd-423	Australia (New South Wales)	text	
Cyd-424	Australia (New South Wales)	text	
Cyd-425	Australia (Queensland)	text	
Cyd-427	Cuba (Pinar del Río)	text	
Cyd-430	South Africa (E Cape, KwaZulu-Natal)	text	
Cyd-436	Costa Rica (San José)	text	
Cyd-438	Brazil (Amazonas), Colombia, (Amazonas, Vaupés), Ecuador (Morona-Santiago, Napo, Sucumbíos), Peru (Loreto), S Venezuela	text	
Cyd-440	Colombia (Valle del Cauca)	text	
Cyd-441	Bahamas (Eleuthera), Cuba (Guantánamo, Oriente, Santiago de Cuba)	text	
Cyd-444	Bolivia (El Beni, Cochabamba, Santa Cruz), Brazil (Mato Grosso)	text	
Cyd-449	Colombia (Chocó, Valle del Cauca)	text	
Cyd-450	Mexico (Tabasco)	text	
Cyd-451	Panama (Colón, Panamá, Kuna de Wargandi, Kuna Yala)	text	
Cyd-458	Belize (Cayo, Stann Creek, Toledo)	text	
Cyd-460	Colombia (Antioquia)	text	
Cyd-461	Panama (Colón, Kuna Yala)	text	
Cyd-462	Panama (Colón, Kuna Yala)	text	
Cyd-463	Colombia (Santander)	text	
Cyd-464	Cuba, Jamaica, Puerto Rico	text	
Cyd-465	Costa Rica (Puntarenas, San José), Panama (Chiriquí)	text	
Cyd-466	Mexico (Hidalgo, Querétaro, San Luis Potosí, Tamaulipas)	text	
Cyd-468	Mexico (Veracruz)	text	
Cyd-471	Ecuador (Carchi, Esmeraldas)	text	
Cyd-472	Costa Rica (Limón)	text	
Cyd-473	Mexico (Chiapas)	text	
Cyd-476	Panama (Bocas del Toro)	text	
Cyd-477	El Salvador (Sonsonate), Guatemala (Quetzaltenango Retalhuleu, Santa Rosa, Suchitepéquez), Mexico (Chiapas)	text	
Cyd-479	Colombia (Huila)	text	
Cyd-481	Colombia (Amazonas), Peru (Loreto)	text	
Cyd-482	Panama (Coclé, Colón, Panamá, Veraguas)	text	
Cyd-483	Colombia (Antioquia, Boyacá, Santander)	text	
Cyd-484	Mexico (Veracruz)	text	
Cyd-485	Bahamas, Cayman Islands, Cuba, United States (Florida, Georgia)	text	
Cyd-821	United States (Florida)	text	
Cyd-822	United States (Florida)	text	
Cyd-823	United States (Florida)	text	
Cyd-824	United States (Florida)	text	
Cyd-825	United States (Florida)	text	
Cyd-486	Panama (Panamá, Kuna Yala)	text	
Cyd-488	Mexico (Chiapas)	text	
Cyd-490	Mexico (Chiapas)	text	
Cyd-496	Brazil (Pará), Colombia (Amazonas), Venezuela (Amazonas)	text	
Cyd-500	Ecuador (Azuay, Bolivar, Chimborazo, El Oro, Esmeraldas, Guayas, Los Ríos, Manabi, Pichincha), Perú (Tumbes)	text	
Cyd-501	Panama (Bocas del Toro, Chiriquí)	text	
Cyd-826	Colombia (Guaviare)	text	
Cyd-502	Mexico (Chiapas, Hidalgo, Oaxaca, Tabasco, Tamaulipas, Veracruz)	text	
Cyd-507	Bahamas (Abaco, Long Island)	text	
Cyd-508	Peru (Loreto)	text	
Cyd-511	Colombia (Antioquia, Chocó), Panama (Darién)	text	
Cyd-513	Belize (Belize, Cayo, Toledo)	text	
Cyd-514	Colombia (Antioquia, Córdoba, Santander)	text	
Cyd-516	Colombia (Antioquia, Risaralda)	text	
Cyd-517	Guatemala (Alta Verapaz)	text	
Cyd-519	Colombia (La Guajira, Meta), Venezuela (Carabobo, Falcón, Guárico, Lara, Miranda, Yaracuy)	text	
Cyd-434	Panama (Coclé)	text	
Cyd-522	Panama (Bocas del Toro)	text	
Cyd-523	Costa Rica, Nicaragua (Río San Juan, Atlántico Sur), Panama (Bocas del Toro)	text	
Cyd-526	Colombia (Antioquia, Chocó, Valle del Cauca), Costa Rica (Puntarenas), Panama (Darién, Panamá)	text	
Cyd-528	Colombia (Risaralda)	text	
Cyd-529	Honduras (Cortés)	text	
Cyd-530	Honduras (Atlántida)	text	
Cyd-533	Mexico (Colima, Guerrero, Jalisco, Michoacán, Nayarit, Oaxaca)	text	
Cyd-535	Brazil (Acre), Peru (Amazonas, Huánuco, Loreto, Pasco, San Martin, Ucayali)	text	
Cyd-537	W Puerto Rico	text	
Cyd-539	Belize (Belize, Cayo, Orange Walk, Stann Creek, Toledo), Guatemala (Petén), Mexico (Campeche, Chiapas, Tabasco, Quintana Roo, Yucatán)	text	
Cyd-48	Costa Rica (Puntarenas), Panama (Chiriquí)	text	
Cyd-540	Costa Rica (Puntarenas), Panama (Chiriquí)	text	
Cyd-541	Panama (Bocas del Toro, Coclé, Colón, Veraguas)	text	
Cyd-542	Cuba, Dominican Republic, Puerto Rico	text	
Cyd-544	Mexico (Oaxaca, Veracruz)	text	
Cyd-545	Cuba (W Cuba, Isla de la Juventud)	text	
Cyd-546	Colombia (Chocó)	text	
Cyd-547	Colombia (Córdoba)	text	
Cyd-548	Colombia (Chocó, Nariño, Valle del Cauca), Ecuador (Esmeraldas, Imbabura)	text	
Cyd-549	Honduras (Atlántida)	text	
Cyd-552	Panama (Bocas del Toro)	text	
Cyd-553	Mexico (Chiapas)	text	
Cyd-554	Mexico (Oaxaca)	text	
Cyd-555	Mexico (Chiapas, Tabasco, Veracruz)	text	
Cyd-556	Guatemala (Izabal), Honduras (Atlántida, Colón, Cortés, Olancho, Santa Barbara, Yoro)	text	
Cyd-557	Panama (Panamá)	text	
Cyd-558	Cuba (Oriente)	text	
Cyd-561	Colombia (Tolima)	text	
Cyd-562	Guatemala (Alta Verapaz)	text	
Cyd-563	Bolivia (Pando), Brazil (Acre, Amazonas, Rondônia), Colombia (Amazonas, Caquetá, Guainía, Putumayo, Vaupés), Ecuador (Napo, Pastaza, Sucumbíos), Peru (Loreto, Madre de Dios, Ucayali)	text	
Cyd-565	Peru (Huánuco)	text	
Cyd-566	Belize (Toledo), Guatemala (Alta Verapaz, Izabal), Mexico (Chiapas)	text	
Cyd-567	Mexico (Veracruz)	text	
Cyd-8	Colombia (Antioquia)	text	
