AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialists	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
119	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		dolichophylla	K.D.Hill, T.H.Nguyên & P.K.Lôc		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
120	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		edentata	de Laub.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
121	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		elephantipes	A.Lindstr. & K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
122	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		elongata	(Leandri) D.Yue Wang		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
123	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		fairylakea	D.Yue Wang		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
124	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		falcata	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
125	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		ferruginea	F.N.Wei		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
126	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		fugax	K.D.Hill, T.H.Nguyên & P.K.Lôc		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
127	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		furfuracea	W.Fitzg.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
128	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		glauca	Hort. ex Miq.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
133	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		guizhouensis	K.M.Lan & R.F.Zou		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
134	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		hainanensis	C.J.Chen		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
136	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		hoabinhensis	P.K.Lôc & T.H.Nguyên		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
137	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		hongheensis	S.Y.Yang & S.L.Yang ex D.Yue Wang		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
138	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		hypoleuca	C.Presl.		4	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
140	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		indica	A.Lindstr. & K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
141	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		inermis	Lour.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
