ReferenceID	Authors	Year	Title	Details
Cyd-Ref-70	K.D.Hill	1994		In: Austral. Syst. Bot. 7(6): 557-560, fig. 11
Cyd-Ref-71	K.D.Hill, T.H.Nguyên & P.K.Lôc	2004		In: Bot. Rev. (Lancaster) 70(2): 155-157, fig. 6
Cyd-Ref-72	Hung T.Chang, Y.Y.Huang & Y.C.Zhong	0		In: Acta Sci. Nat. Univ. Sunyatseni 37(4): 8
Cyd-Ref-73	K.D.Hill	1992		In: Telopea 5(1): 200-201, fig. 15
Cyd-Ref-74	Thunb.	1775		In: Nova Acta Regiae Soc. Sci. Upsal. 2: 283-288, t. 5
Cyd-Ref-75	F.Muell.	1876		In: Fragm. (Mueller) 10(83): 63, 121
Cyd-Ref-76	Maconochie	1978		In: J. Adelaide Bot. Gard. 1(3): 175, fig. 1
Cyd-Ref-77	K.D.Hill	1994		In: Austral. Syst. Bot. 7(6): 538-540
Cyd-Ref-79	K.D.Hill	1994		In: Telopea 5(4): 698-700, fig. 4a-d
Cyd-Ref-683		1994		In: Telopea 5(4): 698-700, fig. 4a-d
Cyd-Ref-78	K.D.Hill	1994		In: Telopea 5(4) : 699-700, fig. 4e-g
Cyd-Ref-80	K.D.Hill	2004		In: Telopea 10(2): 607-611, figs. 1-2
Cyd-Ref-81	Jutta, K.L.Chew & Saw	2010		In: Blumea 55(3): 249-252, figs. 1-2
Cyd-Ref-82	Miq.	1839		In: Bull. Sci. Phys. Nat. Néerl. 1839: 45
Cyd-Ref-83	K.D.Hill	1999		In: Brittonia 51(1): 58, fig. 6
Cyd-Ref-84	W.H.Br. & Kienholz	1925		In: Philipp. J. Sci. 26: 47-48, pls 1-2, fig. 1
Cyd-Ref-85	N.Liu	1998		In: Acta Phytotax. Sin. 36(6): 552-554, fig. 1
Cyd-Ref-665	X.Gong & Wei Zhou	2015		In: J. Syst. Evol. 53(6): 497. [epublished 15 Apr 2015]
Cyd-Ref-86	Leandri	1931		In: Fl. Indo-Chine 5(10): 1092
Cyd-Ref-87	L.	1753		In: Sp. Pl. 2: 1188
Cyd-Ref-684		1932		In: in Engler, Pflanzenr. 99: 66
Cyd-Ref-88	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 66
Cyd-Ref-89	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 66
Cyd-Ref-90	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 66
Cyd-Ref-685		1908		In: Pflanzenw. Ost-Afrikas 2(1): 82
Cyd-Ref-91	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 73
Cyd-Ref-722		1932		In: in Engler, Pflanzenr. 99: 74
Cyd-Ref-92	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 74
Cyd-Ref-93	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 70
Cyd-Ref-723		1932		In: in Engler, Pflanzenr. 99: 70
Cyd-Ref-94	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 70
Cyd-Ref-95	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 68
Cyd-Ref-96	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 69
Cyd-Ref-97	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 69
Cyd-Ref-98	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 69
Cyd-Ref-99	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 69
Cyd-Ref-724		1932		In: in Engler, Pflanzenr. 99: 69
Cyd-Ref-100	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 71, 73
Cyd-Ref-101	Engl.	1908		In: Pflanzenw. Ost-Afrikas 2(1): 82
Cyd-Ref-726	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 66-67
Cyd-Ref-102	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 67
Cyd-Ref-103	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 68
Cyd-Ref-725		1932		In: in Engler, Pflanzenr. 99: 67
Cyd-Ref-104	Miq.	1840		In: Comm. Phytogr.: 119
Cyd-Ref-686		1840		In: Comm. Phytogr.: 119
Cyd-Ref-105	Miq.	1842		In: Monogr. Cycad.: 28. t. 1, figs. t, u, t II, fig. e1
Cyd-Ref-106	Haines	1924		In: Bot. Bihar Orissa 6: 1228
Cyd-Ref-107	K.D.Hill	1999		In: Brittonia 51(1): 62-63, fig. 8a-d, g-h
Cyd-Ref-687		1999		In: Brittonia 51(1): 64
