ID	nameID	provisional	accordingTo	accordingToID	accordingToDate	fossil	recent	lifezone	link	kingdom	phylum	class	order	genus	family
115	115	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=115	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
792	792	1	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=792	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
116	116	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=116	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
117	117	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=117	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
118	118	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=118	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
820	820	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=820	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
119	119	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=119	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
120	120	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=120	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
121	121	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=121	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
122	122	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=122	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
123	123	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=123	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
124	124	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=124	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
125	125	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=125	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
126	126	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=126	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
127	127	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=127	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
128	128	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=128	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
133	133	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=133	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
134	134	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=134	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
136	136	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=136	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
137	137	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=137	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
138	138	1	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=138	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
140	140	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=140	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
141	141	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=141	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
142	142	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=142	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
