SPNUMBER	TAXSTAT	SYNOF	SYNCAT	FAMILY	SPECIES	GENUS	SP1	AUTHOR1	RANK1	SP2	AUTHOR2	RANK2	SP3	AUTHOR3	RANK3	SP4	AUTHOR4	CITATION	YEAR	IUCN	COUNTRY
76	acc	0		Cycadaceae	Cycas calcicola	Cycas	calcicola	Maconochie										J. Adelaide Bot. Gard. 1(3): 175, fig. 1	1978	LC	Australia (Northern Territory)
77	acc	0		Cycadaceae	Cycas campestris	Cycas	campestris	K.D.Hill										Austral. Syst. Bot. 7(6): 538-540	1994	NT	Papua New Guinea (Central, Gulf)
79	acc	0		Cycadaceae	Cycas canalis	Cycas	canalis	K.D.Hill										Telopea 5(4): 698-700, fig. 4a-d	1994	LC	Australia (Northern Territory)
683	syn	79	hom	Cycadaceae	Cycas canalis subsp. canalis	Cycas	canalis	K.D.Hill	subsp.	canalis								Telopea 5(4): 698-700, fig. 4a-d	1994		
78	syn	79	het	Cycadaceae	Cycas canalis subsp. carinata	Cycas	canalis	K.D.Hill	subsp.	carinata	K.D.Hill							Telopea 5(4) : 699-700, fig. 4e-g	1994		
80	acc	0		Cycadaceae	Cycas candida	Cycas	candida	K.D.Hill										Telopea 10(2): 607-611, figs. 1-2	2004	EN	Australia (Queensland)
81	acc	0		Cycadaceae	Cycas cantafolia	Cycas	cantafolia	Jutta, K.L.Chew & Saw										Blumea 55(3): 249-252, figs. 1-2	2010	[CR]	Malaysia (Johor)
82	syn	197	het	Cycadaceae	Cycas celebica	Cycas	celebica	Miq.										Bull. Sci. Phys. Nat. Néerl. 1839: 45	1839		
83	acc	0		Cycadaceae	Cycas chamaoensis	Cycas	chamaoensis	K.D.Hill										Brittonia 51(1): 58, fig. 6	1999	CR	Thailand (Chantaburi)
84	syn	196	het	Cycadaceae	Cycas chamberlainii	Cycas	chamberlainii	W.H.Br. & Kienholz										Philipp. J. Sci. 26: 47-48, pls 1-2, fig. 1	1925		
85	acc	0		Cycadaceae	Cycas changjiangensis	Cycas	changjiangensis	N.Liu										Acta Phytotax. Sin. 36(6): 552-554, fig. 1	1998	EN	China (Hainan)
665	acc	0		Cycadaceae	Cycas chenii	Cycas	chenii	X.Gong & Wei Zhou										J. Syst. Evol. 53(6): 497. [epublished 15 Apr 2015]	2015	[EN]	China (Yunnan)
86	acc	0		Cycadaceae	Cycas chevalieri	Cycas	chevalieri	Leandri										Fl. Indo-Chine 5(10): 1092	1931	NT	Vietnam (Ha Tinh, Nghe An, Quang Binh, Quang Tri)
87	acc	0		Cycadaceae	Cycas circinalis	Cycas	circinalis	L.										Sp. Pl. 2: 1188	1753	EN	India (Andra Pradesh, Karnataka, Kerala, Maharashtra, Tamil Nadu)
684	syn	87	hom	Cycadaceae	Cycas circinalis f. circinalis	Cycas	circinalis	L.	f.	circinalis								in Engler, Pflanzenr. 99: 66	1932		
88	syn	128	hom	Cycadaceae	Cycas circinalis f. glauca	Cycas	circinalis	L.	f.	glauca	(Miq.) J.Schust.							in Engler, Pflanzenr. 99: 66	1932		
89	dub	0		Cycadaceae	Cycas circinalis f. gothanii	Cycas	circinalis	L.	f.	gothanii	J.Schust.							in Engler, Pflanzenr. 99: 66	1932		
90	syn	233	hom	Cycadaceae	Cycas circinalis f. undulata	Cycas	circinalis	L.	f.	undulata	(Hort. ex Gaudich.) J.Schust.							in Engler, Pflanzenr. 99: 66	1932		
685	syn	87	hom	Cycadaceae	Cycas circinalis subsp. circinalis	Cycas	circinalis	L.	subsp.	circinalis								Pflanzenw. Ost-Afrikas 2(1): 82	1908		
91	sup	158	hom	Cycadaceae	Cycas circinalis subsp. madagascariensis	Cycas	circinalis	L.	subsp.	madagascariensis	(Miq.) J.Schust.							in Engler, Pflanzenr. 99: 73	1932		
722	inv	91		Cycadaceae	Cycas circinalis subsp. madagascariensis f. madagascariensis	Cycas	circinalis	L.	subsp.	madagascariensis		f.	madagascariensis					in Engler, Pflanzenr. 99: 74	1932		
92	syn	228	het	Cycadaceae	Cycas circinalis subsp. madagascariensis f. trigonocarpoides	Cycas	circinalis	L.	subsp.	madagascariensis	(Miq.) J.Schust.	f.	trigonocarpoides	J.Schust.				in Engler, Pflanzenr. 99: 74	1932		
93	syn	181	hom	Cycadaceae	Cycas circinalis subsp. papuana	Cycas	circinalis	L.	subsp.	papuana	(F.Muell.) J.Schust.							in Engler, Pflanzenr. 99: 70	1932		
723	syn	93	hom	Cycadaceae	Cycas circinalis subsp. papuana var. papuana	Cycas	circinalis	L.	subsp.	papuana		var.	papuana					in Engler, Pflanzenr. 99: 70	1932		
94	syn	205	hom	Cycadaceae	Cycas circinalis subsp. papuana var. scratchleyana	Cycas	circinalis	L.	subsp.	papuana	(F.Muell.) J.Schust.	var.	scratchleyana	(F.Muell.) J.Schust.				in Engler, Pflanzenr. 99: 70	1932		
95	syn	196	hom	Cycadaceae	Cycas circinalis subsp. riuminiana	Cycas	circinalis	L.	subsp.	riuminiana	(Porte ex Regel) J.Schust.							in Engler, Pflanzenr. 99: 68	1932		
96	syn	84	hom	Cycadaceae	Cycas circinalis subsp. riuminiana var. curranii	Cycas	circinalis	L.	subsp.	riuminiana	(Porte ex Regel) J.Schust.	var.	curranii	J.Schust.	f.	chamberlainii	(W.H.Br. & Kienholz) J.Schust.	in Engler, Pflanzenr. 99: 69	1932		
